timestamp,timestamp_unix_ms,instabuy,instasell,instabuy_volume,instasell_volume
2026-08-06 19:30:00+00:00,1786044600000,107,105,103007,74624
2026-08-06 19:35:00+00:00,1786044900000,108,105,136131,51776
2026-08-06 19:40:00+00:00,1786045200000,108,105,89718,53267
2026-08-06 19:45:00+00:00,1786045500000,107,105,208668,144738
2026-08-06 19:50:00+00:00,1786045800000,107,105,88794,60196
2026-08-06 19:55:00+00:00,1786046100000,108,106,81274,44436
2026-08-06 20:00:00+00:00,1786046400000,107,104,99257,107388
2026-08-06 20:05:00+00:00,1786046700000,107,104,259464,60502
2026-08-06 20:10:00+00:00,1786047000000,107,104,176825,9040
2026-08-06 20:15:00+00:00,1786047300000,107,104,150493,222810
2026-08-06 20:20:00+00:00,1786047600000,107,104,269779,113838
2026-08-06 20:25:00+00:00,1786047900000,108,105,60380,71370
2026-08-06 20:30:00+00:00,1786048200000,107,105,81349,36760
2026-08-06 20:35:00+00:00,1786048500000,109,106,118616,35107
2026-08-06 20:40:00+00:00,1786048800000,108,106,108535,36963
2026-08-06 20:45:00+00:00,1786049100000,108,106,58295,81154
2026-08-06 20:50:00+00:00,1786049400000,108,106,129315,20756
2026-08-06 20:55:00+00:00,1786049700000,109,107,138783,19269
2026-08-06 21:00:00+00:00,1786050000000,109,105,97855,64795
2026-08-06 21:05:00+00:00,1786050300000,108,105,155714,32661
2026-08-06 21:10:00+00:00,1786050600000,109,107,125524,16336
2026-08-06 21:15:00+00:00,1786050900000,109,108,57174,60168
2026-08-06 21:20:00+00:00,1786051200000,109,107,84183,102017
2026-08-06 21:25:00+00:00,1786051500000,109,107,208793,94991
2026-08-06 21:30:00+00:00,1786051800000,110,107,136802,74211
2026-08-06 21:35:00+00:00,1786052100000,108,106,74585,72528
2026-08-06 21:40:00+00:00,1786052400000,110,107,54481,48519
2026-08-06 21:45:00+00:00,1786052700000,108,106,94543,79421
2026-08-06 21:50:00+00:00,1786053000000,107,105,187910,99757
2026-08-06 21:55:00+00:00,1786053300000,107,105,295540,143035
2026-08-06 22:00:00+00:00,1786053600000,108,105,143900,127737
2026-08-06 22:05:00+00:00,1786053900000,108,105,116942,78313
2026-08-06 22:10:00+00:00,1786054200000,108,106,117843,65245
2026-08-06 22:15:00+00:00,1786054500000,107,104,199466,74821
2026-08-06 22:20:00+00:00,1786054800000,108,105,199067,78186
2026-08-06 22:25:00+00:00,1786055100000,108,106,114293,30204
2026-08-06 22:30:00+00:00,1786055400000,109,106,56229,84927
2026-08-06 22:35:00+00:00,1786055700000,108,106,56698,39282
2026-08-06 22:40:00+00:00,1786056000000,108,106,123469,32816
2026-08-06 22:45:00+00:00,1786056300000,109,106,173308,107486
2026-08-06 22:50:00+00:00,1786056600000,108,105,156279,188234
2026-08-06 22:55:00+00:00,1786056900000,107,106,138317,36906
2026-08-06 23:00:00+00:00,1786057200000,108,106,131725,31674
2026-08-06 23:05:00+00:00,1786057500000,109,107,246166,36186
2026-08-06 23:10:00+00:00,1786057800000,108,106,74907,55603
2026-08-06 23:15:00+00:00,1786058100000,108,106,90996,63702
2026-08-06 23:20:00+00:00,1786058400000,109,106,172581,82173
2026-08-06 23:25:00+00:00,1786058700000,109,105,182428,44038
2026-08-06 23:30:00+00:00,1786059000000,109,106,138331,49357
2026-08-06 23:35:00+00:00,1786059300000,109,106,86412,144387
2026-08-06 23:40:00+00:00,1786059600000,107,106,73930,28409
2026-08-06 23:45:00+00:00,1786059900000,108,106,192079,107299
2026-08-06 23:50:00+00:00,1786060200000,108,105,231752,345151
2026-08-06 23:55:00+00:00,1786060500000,109,106,67939,81353
2026-08-07 00:00:00+00:00,1786060800000,107,105,40897,122466
2026-08-07 00:05:00+00:00,1786061100000,108,104,173865,597596
2026-08-07 00:10:00+00:00,1786061400000,108,105,183906,107780
2026-08-07 00:15:00+00:00,1786061700000,109,105,122124,143952
2026-08-07 00:20:00+00:00,1786062000000,108,104,62926,46577
2026-08-07 00:25:00+00:00,1786062300000,107,104,102636,27463
